run_id,mutation_id,ground_truth_module,module,score,rank,detected,ranking_available,ranking_protocol
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/wind_estimator,0.004284109583290118,10,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/fw_pos_control_l1,0.004215072818392518,11,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/mc_pos_control,0.004215072818392518,12,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/land_detector,0.004132015982370372,13,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/drivers/camera_trigger,0.003932128664870461,14,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/navigator,0.0031130374451225984,15,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/position_estimator_inav,0.003074421159948369,16,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/load_mon,0.0026156789307791267,17,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/events,0.0023347450412065105,18,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/examples/fixedwing_control,0.0021525216664025166,19,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/drivers/vmount,0.0011675387938068435,20,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/examples/hwtest,0.0010708306428878493,21,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/platforms/posix/drivers/df_ltc2946_wrapper,0.0010281806685092255,22,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/camera_feedback,0.0006745992827227235,23,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/replay,0.0006745992827227235,24,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/drivers/mkblctrl,0.0005827088416885087,25,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/drivers/px4io,0.0005827088416885087,26,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/platforms/qurt/fc_addon/uart_esc,0.0005827088416885087,27,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.0005662343694458309,28,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/commander,0.0003299593459323167,29,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/mavlink,0.0003259272900002538,30,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/sensors,0.00030594012220029214,31,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/examples/rover_steering_control,0.00030320449013735,32,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/gnd_att_control,0.0002693779218288282,33,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/mc_att_control,9.447446648541898e-05,34,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/gnd_pos_control,7.138702146090196e-05,35,False,True,onset_conditioned
