seed,scope,k,windows,consistency,hit_rate,weighted_consistency,random_consistency,random_hit_rate,consistency_lift,hit_rate_lift
2,Global Position,3,641,0.7202288091523661,0.9578783151326054,0.5214905909067055,0.19540229885057478,0.483560545308741,0.5248265103017913,0.47431776982386437
2,Altitude,3,571,0.21074138937536485,0.5569176882661997,0.2146777518892431,0.16091954022988508,0.41321760460399076,0.04982184914547977,0.14370008366220893
2,Mechanical/Electrical,3,683,0.8911664226451927,0.9531478770131772,0.7725256144599395,0.49425287356321845,0.875050709939148,0.3969135490819743,0.07809716707402914
2,all,5,3602,0.3564131038312049,0.7601332593003887,0.30440210905829657,0.17034278529807834,0.4757446622227997,0.18607031853312656,0.28438859707758896
2,correct_predictions,5,3278,0.3718730933496034,0.7690665039658329,0.31266442975860187,0.16268680790782158,0.45831801154703544,0.2091862854417818,0.31074849241879743
2,External Position,5,1707,0.11013473930872876,0.5418863503222027,0.06559164443578769,0.03448275862068966,0.16448889098542385,0.0756519806880391,0.3773974593367788
2,Global Position,5,641,0.5856474258970359,0.9906396255850234,0.5214905909067055,0.19540229885057478,0.6724476092018435,0.3902451270464611,0.31819201638317984
2,Altitude,5,571,0.276707530647986,0.8739054290718039,0.2146777518892431,0.16091954022988508,0.5934941236714394,0.1157879904181009,0.2804113054003645
2,Mechanical/Electrical,5,683,0.8234260614934115,0.9941434846266471,0.7725256144599395,0.49425287356321845,0.9706086007315265,0.329173187930193,0.023534883895120595
2,all,10,3602,0.2990838423098279,0.8717379233759023,0.30440210905829657,0.17034278529807834,0.6305642277774868,0.12874105701174954,0.2411736955984155
2,correct_predictions,10,3278,0.30527760829774253,0.8770591824283099,0.31266442975860187,0.16268680790782158,0.6123552096674619,0.14259080038992095,0.264703972760848
2,External Position,10,1707,0.08611599297012303,0.7334504979496193,0.06559164443578769,0.03448275862068966,0.3098731072220388,0.051633234349433364,0.42357739072758044
2,Global Position,10,641,0.42870514820592825,1.0,0.5214905909067055,0.19540229885057478,0.9008424868902108,0.23330284935535348,0.09915751310978915
