seed,scope,level,rank,name,mean_abs_shap,scope_windows,topic,feature_count
2,Global Position,topic,9,actuator_outputs,0.20922143822127212,641,actuator_outputs,144
2,Global Position,topic,10,sensor_combined,0.1591156544946814,641,sensor_combined,108
2,Global Position,topic,11,vehicle_attitude,0.14537217228002197,641,vehicle_attitude,126
2,Global Position,topic,12,sensor_preflight,0.1360408425973943,641,sensor_preflight,36
2,Global Position,topic,13,rate_ctrl_status,0.06307830725683794,641,rate_ctrl_status,54
2,Global Position,topic,14,vehicle_rates_setpoint,0.04319555576842764,641,vehicle_rates_setpoint,54
2,Global Position,topic,15,vehicle_vision_position,0.0379839011684213,641,vehicle_vision_position,54
2,Global Position,topic,16,vehicle_status,0.01979649075731928,641,vehicle_status,36
2,Global Position,topic,17,vehicle_land_detected,0.003816446884307021,641,vehicle_land_detected,54
2,Global Position,topic,18,distance_sensor,0.003200365535201009,641,distance_sensor,18
2,Altitude,topic,1,estimator_status,2.001662066830094,571,estimator_status,162
2,Altitude,topic,2,ekf2_innovations,1.195663197672046,571,ekf2_innovations,144
2,Altitude,topic,3,vehicle_local_position,0.8627348598928081,571,vehicle_local_position,234
2,Altitude,topic,4,actuator_controls_0,0.6490600221148537,571,actuator_controls_0,72
2,Altitude,topic,5,manual_control_setpoint,0.26896015360849995,571,manual_control_setpoint,72
2,Altitude,topic,6,vehicle_rates_setpoint,0.2526208429565111,571,vehicle_rates_setpoint,54
2,Altitude,topic,7,sensor_preflight,0.20563619966928878,571,sensor_preflight,36
2,Altitude,topic,8,actuator_outputs,0.18990632376623706,571,actuator_outputs,144
2,Altitude,topic,9,battery_status,0.14735419505898906,571,battery_status,108
2,Altitude,topic,10,rate_ctrl_status,0.1410512199591524,571,rate_ctrl_status,54
2,Altitude,topic,11,vehicle_vision_position,0.12484416522823152,571,vehicle_vision_position,54
2,Altitude,topic,12,vehicle_attitude,0.09970697941988114,571,vehicle_attitude,126
2,Altitude,topic,13,sensor_combined,0.0993879963189515,571,sensor_combined,108
2,Altitude,topic,14,cpuload,0.09017457749367398,571,cpuload,36
2,Altitude,topic,15,vehicle_attitude_setpoint,0.08486313540854697,571,vehicle_attitude_setpoint,54
2,Altitude,topic,16,distance_sensor,0.07016194819404308,571,distance_sensor,18
2,Altitude,topic,17,vehicle_status,0.020842598231746758,571,vehicle_status,36
2,Altitude,topic,18,vehicle_land_detected,0.00690985941934272,571,vehicle_land_detected,54
2,Mechanical/Electrical,topic,1,actuator_controls_0,1.9822227930233045,683,actuator_controls_0,72
2,Mechanical/Electrical,topic,2,actuator_outputs,1.1387799470274138,683,actuator_outputs,144
2,Mechanical/Electrical,topic,3,vehicle_attitude,0.7924378175722115,683,vehicle_attitude,126
2,Mechanical/Electrical,topic,4,vehicle_local_position,0.515029958580525,683,vehicle_local_position,234
2,Mechanical/Electrical,topic,5,sensor_combined,0.4628903263900305,683,sensor_combined,108
2,Mechanical/Electrical,topic,6,estimator_status,0.3624211889083148,683,estimator_status,162
2,Mechanical/Electrical,topic,7,battery_status,0.32247863662359,683,battery_status,108
2,Mechanical/Electrical,topic,8,vehicle_attitude_setpoint,0.291239043649725,683,vehicle_attitude_setpoint,54
2,Mechanical/Electrical,topic,9,ekf2_innovations,0.2450543123528664,683,ekf2_innovations,144
2,Mechanical/Electrical,topic,10,manual_control_setpoint,0.21679978265353386,683,manual_control_setpoint,72
2,Mechanical/Electrical,topic,11,cpuload,0.16458681172206116,683,cpuload,36
2,Mechanical/Electrical,topic,12,vehicle_rates_setpoint,0.10085495814492904,683,vehicle_rates_setpoint,54
2,Mechanical/Electrical,topic,13,rate_ctrl_status,0.08376585867467842,683,rate_ctrl_status,54
2,Mechanical/Electrical,topic,14,sensor_preflight,0.04908140764872524,683,sensor_preflight,36
2,Mechanical/Electrical,topic,15,distance_sensor,0.045155838053078316,683,distance_sensor,18
2,Mechanical/Electrical,topic,16,vehicle_vision_position,0.03718660674994414,683,vehicle_vision_position,54
2,Mechanical/Electrical,topic,17,vehicle_land_detected,0.019187734029433016,683,vehicle_land_detected,54
2,Mechanical/Electrical,topic,18,vehicle_status,0.005346106391016969,683,vehicle_status,36
3,all,topic,1,vehicle_local_position,1.2661291646284718,3602,vehicle_local_position,234
3,all,topic,2,estimator_status,1.0857906592854347,3602,estimator_status,162
3,all,topic,3,actuator_controls_0,0.8709520359759971,3602,actuator_controls_0,72
3,all,topic,4,actuator_outputs,0.637898786929952,3602,actuator_outputs,144
3,all,topic,5,ekf2_innovations,0.5989528885277524,3602,ekf2_innovations,144
3,all,topic,6,manual_control_setpoint,0.5582028617442565,3602,manual_control_setpoint,72
3,all,topic,7,vehicle_attitude,0.3525806240861934,3602,vehicle_attitude,126
3,all,topic,8,cpuload,0.31230495638556516,3602,cpuload,36
3,all,topic,9,sensor_combined,0.2474611562974841,3602,sensor_combined,108
3,all,topic,10,battery_status,0.24527761741196302,3602,battery_status,108
3,all,topic,11,vehicle_vision_position,0.23740670297111363,3602,vehicle_vision_position,54
3,all,topic,12,vehicle_attitude_setpoint,0.23347341107065883,3602,vehicle_attitude_setpoint,54
3,all,topic,13,rate_ctrl_status,0.11911652164427908,3602,rate_ctrl_status,54
3,all,topic,14,sensor_preflight,0.11673717251043202,3602,sensor_preflight,36
3,all,topic,15,vehicle_rates_setpoint,0.11252266262796766,3602,vehicle_rates_setpoint,54
3,all,topic,16,distance_sensor,0.02843629730089008,3602,distance_sensor,18
3,all,topic,17,vehicle_status,0.026398633325164192,3602,vehicle_status,36
3,all,topic,18,vehicle_land_detected,0.01782777439418024,3602,vehicle_land_detected,54
3,External Position,topic,1,vehicle_local_position,1.7475439355036926,1707,vehicle_local_position,234
3,External Position,topic,2,estimator_status,0.8427374318913077,1707,estimator_status,162
3,External Position,topic,3,actuator_outputs,0.6785322140524044,1707,actuator_outputs,144
3,External Position,topic,4,actuator_controls_0,0.5679272601414598,1707,actuator_controls_0,72
3,External Position,topic,5,ekf2_innovations,0.5035394844912576,1707,ekf2_innovations,144
3,External Position,topic,6,vehicle_vision_position,0.4174872618898712,1707,vehicle_vision_position,54
3,External Position,topic,7,manual_control_setpoint,0.37204568294931883,1707,manual_control_setpoint,72
3,External Position,topic,8,vehicle_attitude,0.2580651282958205,1707,vehicle_attitude,126
3,External Position,topic,9,cpuload,0.22525907505558876,1707,cpuload,36
3,External Position,topic,10,vehicle_attitude_setpoint,0.21855708102529706,1707,vehicle_attitude_setpoint,54
3,External Position,topic,11,battery_status,0.20066642324397815,1707,battery_status,108
3,External Position,topic,12,sensor_combined,0.19291517727362645,1707,sensor_combined,108
3,External Position,topic,13,rate_ctrl_status,0.12020039777544038,1707,rate_ctrl_status,54
3,External Position,topic,14,sensor_preflight,0.0886526062217134,1707,sensor_preflight,36
3,External Position,topic,15,vehicle_rates_setpoint,0.07604274485952804,1707,vehicle_rates_setpoint,54
3,External Position,topic,16,vehicle_status,0.038951005291860116,1707,vehicle_status,36
3,External Position,topic,17,vehicle_land_detected,0.025782445205747854,1707,vehicle_land_detected,54
3,External Position,topic,18,distance_sensor,0.014082451165041239,1707,distance_sensor,18
3,Global Position,topic,1,manual_control_setpoint,1.610126206378104,641,manual_control_setpoint,72
3,Global Position,topic,2,estimator_status,1.465917833343311,641,estimator_status,162
3,Global Position,topic,3,vehicle_local_position,0.9355442126801093,641,vehicle_local_position,234
3,Global Position,topic,4,cpuload,0.8837624343751761,641,cpuload,36
3,Global Position,topic,5,actuator_controls_0,0.4646707376778384,641,actuator_controls_0,72
3,Global Position,topic,6,ekf2_innovations,0.4545575236629068,641,ekf2_innovations,144
3,Global Position,topic,7,vehicle_attitude_setpoint,0.30980064578856614,641,vehicle_attitude_setpoint,54
3,Global Position,topic,8,battery_status,0.26717887936684637,641,battery_status,108
3,Global Position,topic,9,actuator_outputs,0.2496425416827487,641,actuator_outputs,144
3,Global Position,topic,10,vehicle_attitude,0.19839379215142647,641,vehicle_attitude,126
3,Global Position,topic,11,sensor_combined,0.16530994967236692,641,sensor_combined,108
3,Global Position,topic,12,sensor_preflight,0.1438394578511829,641,sensor_preflight,36
3,Global Position,topic,13,rate_ctrl_status,0.11583888288465567,641,rate_ctrl_status,54
3,Global Position,topic,14,vehicle_vision_position,0.05335828497994318,641,vehicle_vision_position,54
