mode,module,mean_abs_shap,seed_std,seeds,shap_share,rank,mapped_topic_degree,degree_normalized_score,degree_normalized_share,degree_normalized_rank
bidirectional,src/modules/mc_pos_control,0.18208434544586846,0.006969759072311112,5,0.025232120218084565,9,5,0.036416869089173694,0.01611280648589756,18
bidirectional,src/modules/land_detector,0.21464155741504856,0.008922312049459862,5,0.02974369689624679,7,6,0.035773592902508096,0.015828186062122298,19
bidirectional,src/modules/gnd_att_control,0.13719266566093627,0.005107264989117418,5,0.01901130942651705,16,4,0.03429816641523407,0.015175377018725384,20
bidirectional,src/modules/mc_att_control,0.23192336345842451,0.012721988617900247,5,0.03213850248265958,6,7,0.03313190906548922,0.014659361241993468,21
bidirectional,src/modules/navigator,0.12789240936200102,0.004252487229381299,5,0.01772253754215154,17,4,0.031973102340500256,0.014146642027483764,22
bidirectional,src/modules/fw_att_control,0.21245103765547713,0.011258252056388255,5,0.02944014824258162,8,7,0.030350148236496732,0.013428558730721818,23
bidirectional,src/examples/rover_steering_control,0.12018521122374537,0.0038206605598606323,5,0.016654521785536825,19,4,0.030046302805936342,0.013294120961998333,24
bidirectional,src/drivers/telemetry,0.14953646096463352,0.007532139684820787,5,0.020721836085399487,14,5,0.029907292192926704,0.013232615094994071,25
bidirectional,src/modules/position_estimator_inav,0.17832048634133052,0.0092562069207698,5,0.024710547947952934,11,6,0.02972008105688842,0.013149782691153878,26
bidirectional,src/examples/fixedwing_control,0.10862397264620878,0.005112782146463242,5,0.0150524369882741,21,4,0.027155993161552195,0.012015290542220973,27
bidirectional,src/modules/sdlog2,0.021486962537319288,0.0014583321899412005,5,0.0029775301140552903,30,1,0.021486962537319288,0.00950700260601156,28
bidirectional,src/platforms/qurt/tests/muorb,0.021486962537319288,0.0014583321899412005,5,0.0029775301140552903,30,1,0.021486962537319288,0.00950700260601156,28
bidirectional,src/templates/module,0.021486962537319288,0.0014583321899412005,5,0.0029775301140552903,30,1,0.021486962537319288,0.00950700260601156,28
bidirectional,src/modules/simulator,0.10468060382814048,0.00619055870379013,5,0.014505989374460284,22,5,0.020936120765628098,0.009263280202257532,29
bidirectional,src/examples/px4_simple_app,0.03754009703236661,0.002814582914278699,5,0.005202074011358819,29,2,0.018770048516183305,0.008304891854694931,30
bidirectional,src/modules/attitude_estimator_q,0.03754009703236661,0.002814582914278699,5,0.005202074011358819,29,2,0.018770048516183305,0.008304891854694931,30
bidirectional,src/drivers/batt_smbus,0.018035559883425343,0.0012739947790410308,5,0.0024992561225662315,32,1,0.018035559883425343,0.00797991407649162,31
bidirectional,src/modules/syslink,0.018035559883425343,0.0012739947790410308,5,0.0024992561225662315,32,1,0.018035559883425343,0.00797991407649162,31
bidirectional,src/modules/camera_feedback,0.016053134495047323,0.0013750634996627887,5,0.002224543897303529,33,1,0.016053134495047323,0.007102781103378303,32
bidirectional,src/modules/replay,0.016053134495047323,0.0013750634996627887,5,0.002224543897303529,33,1,0.016053134495047323,0.007102781103378303,32
bidirectional,src/drivers/blinkm,0.019063665329659786,0.0012437816328675778,5,0.002641724604152239,31,2,0.009531832664829893,0.004217401963037514,33
bidirectional,src/modules/gpio_led,0.019063665329659786,0.0012437816328675778,5,0.002641724604152239,31,2,0.009531832664829893,0.004217401963037514,33
bidirectional,src/drivers/distance_sensor,0.0020849716311141376,9.455014792538095e-05,5,0.00028892244810363227,34,1,0.0020849716311141376,0.000922505016520369,34
bidirectional,src/drivers/px4flow,0.0020849716311141376,9.455014792538095e-05,5,0.00028892244810363227,34,1,0.0020849716311141376,0.000922505016520369,34
bidirectional,src/platforms/posix/drivers/df_bebop_rangefinder_wrapper,0.0020849716311141376,9.455014792538095e-05,5,0.00028892244810363227,34,1,0.0020849716311141376,0.000922505016520369,34
bidirectional,src/platforms/posix/drivers/df_isl29501_wrapper,0.0020849716311141376,9.455014792538095e-05,5,0.00028892244810363227,34,1,0.0020849716311141376,0.000922505016520369,34
bidirectional,src/platforms/posix/drivers/df_trone_wrapper,0.0020849716311141376,9.455014792538095e-05,5,0.00028892244810363227,34,1,0.0020849716311141376,0.000922505016520369,34
bidirectional,src/modules/logger,0.0010281054462344462,5.921614658790769e-05,5,0.00014246848158600795,35,1,0.0010281054462344462,0.00045488984958341093,35
