dataset,group,run_id,topic,shared_fraction,shared_packets_used
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_status,0.0,False
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_vision_position,1.0,True
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,actuator_controls_0,0.0,False
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,actuator_outputs,1.0,True
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,battery_status,1.0,True
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,cpuload,1.0,True
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,distance_sensor,1.0,True
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovations,0.0,False
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,estimator_status,0.0,False
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,manual_control_setpoint,0.993993993993994,True
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,rate_ctrl_status,0.9995289684408856,True
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,sensor_combined,0.9994650181299412,True
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,sensor_preflight,1.0,True
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,vehicle_attitude,0.9995133819951338,True
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,vehicle_attitude_setpoint,1.0,True
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,vehicle_land_detected,1.0,True
