pair_id,module,score,rank
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/px4flow,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/px4fmu,0.08918392351694852,22.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/px4io,0.08918392351694852,22.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/snapdragon_pwm_out,0.08918392351694852,22.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/tap_esc,0.08918392351694852,22.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/telemetry,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/drivers/vmount,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/examples/fixedwing_control,0.46822022976596245,6.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/examples/hwtest,0.17844579258871757,10.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/examples/px4_simple_app,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/examples/rover_steering_control,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/examples/uuv_example_app,0.17844579258871757,10.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/attitude_estimator_q,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/camera_feedback,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/commander,670.9871770749207,1.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/ekf2,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/events,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/fw_att_control,0.43283917929935906,8.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/fw_pos_control_l1,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/gnd_att_control,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/gnd_pos_control,0.12654865993166195,12.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/gpio_led,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/land_detector,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/landing_target_estimator,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/load_mon,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/logger,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/mavlink,3.2065970646590998,2.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/mc_att_control,0.43283917929935906,8.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/mc_pos_control,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/navigator,0.12654865993166195,12.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/position_estimator_inav,1.640990103093022,3.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/replay,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/sdlog2,0.0,
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/sensors,0.792392279279736,4.0
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,src/modules/simulator,0.0,
